"survived","class"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Second"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Third"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"Yes","Crew"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","First"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Second"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Third"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
"No","Crew"
