"Place","Bib#","Name","Country","Time(sec)","Run1","Run2","Total","Behind"
"51",75,"Igor Zakurdayev","Kazakhstan",155.07,01:18:00,01:16:00,02:35:00,17.03
"52",91,"Komiljon Tukhtaev","Uzbekistan",155.99,01:17:00,01:18:00,02:35:00,17.95
"53",60,"Adam Lamhamedi","Morocco",156.04,01:18:00,01:17:00,02:36:00,18
"54",88,"Yuri Danilochkin","Belarus",156.89,01:19:00,01:17:00,02:36:00,18.85
"55",82,"Alexandru Barbu","Romania",157.14,01:19:00,01:17:00,02:37:00,19.1
"56",96,"Albin Tahiri","Kosovo",157.47,01:19:00,01:17:00,02:37:00,19.43
"57",98,"Ivan Kovbasnyuk","Ukraine",157.67,01:20:00,01:17:00,02:37:00,19.63
"58",89,"Mohammad Kiadarbandsari","Iran",157.72,01:19:00,01:18:00,02:37:00,19.68
"59",86,"Andrej Drukarov","Lithuania",158.19,01:19:00,01:18:00,02:38:00,20.15
"60",76,"Casper Dyrbye Næsted","Denmark",158.34,01:20:00,01:18:00,02:38:00,20.3
"61",97,"Shannon-Ogbnai Abeda","Eritrea",159.87,01:19:00,01:20:00,02:39:00,21.83
"62",95,"Matthieu Osch","Luxembourg",160.39,01:21:00,01:18:00,02:40:00,22.35
"63",92,"Evgeniy Timofeev","Kyrgyzstan",161.03,01:20:00,01:20:00,02:41:00,22.99
"64",83,"Eldar Salihovic","Montenegro",161.23,01:20:00,01:20:00,02:41:00,23.19
"65",101,"Alessandro Mariotti","San Marino",162.87,01:21:00,01:21:00,02:42:00,24.83
"66",99,"Arthur Hanse","Portugal",163.95,01:22:00,01:21:00,02:43:00,25.91
"67",93,"Serdar Deniz","Turkey",164.23,01:23:00,01:20:00,02:44:00,26.19
"68",108,"Jeffrey Webb","Malaysia",167.67,01:23:00,01:23:00,02:47:00,29.63
"69",102,"Zhang Yangming","China",168.68,01:25:00,01:22:00,02:48:00,30.64
"70",104,"Asa Miller","Philippines",169.95,01:27:00,01:22:00,02:49:00,31.91
"71",103,"Allen Behlok","Lebanon",172.13,01:26:00,01:25:00,02:52:00,34.09
"72",106,"Muhammad Karim","Pakistan",174.04,01:27:00,01:26:00,02:54:00,36
"73",105,"Charles Flaherty","Puerto Rico",176.05,01:28:00,01:27:00,02:56:00,38.01
"74",110,"Kang Song-il","North Korea",182.02,01:32:00,01:29:00,03:02:00,43.98
"75",109,"Choe Myong-gwang","North Korea",192.01,01:38:00,01:33:00,03:12:00,53.97
