"Age(months)","Gender","Dominant Hand","Dominant","non-dominant","Dominant","Non-dominant"
"NA","male","right",0.02777778,0.025,0.44444444,0.4
"NA","female","right",0.05497526,0.04539265,0.87960418,0.72628234
"NA","female","right",0.0447828,0.04192872,0.71652485,0.67085954
"NA","female","right",0.04557885,0.03061849,0.72926162,0.4898959
"NA","female","right",0.03502627,0.02653928,0.56042032,0.42462845
"NA","female","right",0.03124024,0.03762227,0.4998438,0.60195636
"NA","female","right",0.0230787,0.0427716,0.36925917,0.68434559
"NA","female","right",0.04378284,0.02255809,0.70052539,0.36092939
"NA","female","right",0.04789272,0.02801905,0.76628352,0.44830485
"NA","female","right",0.02631579,0.03125,0.42105263,0.5
"NA","male","right",0.03328895,0.03120125,0.53262317,0.49921997
"NA","male","right",0.03445899,0.03763643,0.5513439,0.60218291
"NA","female","right",0.02857143,0.02772387,0.45714286,0.44358192
"NA","female","right",0.04163197,0.03703704,0.66611157,0.59259259
"NA","male","right",0.03125,0.02560819,0.5,0.40973111
