"Shirt Size","Pct BF","Age","Weight","Height","Chest","Waist Size","Hip","Thigh","Knee","Ankle","Bicep","Forearm","Wrist","Test","Multiple regression predicted","Neural predicted value","Shirt Size Predictor","Boosted Tree Shirt Size","Random Forest predicted value"
15.5,11.8,27,168,71.25,93,31.141732,94.5,57.3,36.2,24.5,29,30,18.8,0,15.345156431,15.394786177,14.708333333,15.040313596,15.12540699
16,21.3,41,218.5,71,111.7,39.566929,108.3,67.1,44.2,25.2,37.5,31.5,18.7,0,16.361554798,16.272081945,16.083333333,16.152019235,16.343745491
17,32.3,41,247.25,73.5,117,45.511811,116.1,71.2,43.3,26.3,37.3,31.7,19.7,2,17.007260118,16.738567464,16.892857143,17.130000595,16.972619048
15.5,40.1,49,191.75,65,118.5,44.527559,113.8,61.9,38.3,21.9,32,29.8,17,0,15.329296089,15.445838698,16.083333333,15.665783849,15.781004561
15.5,24.2,40,202.25,70,106.5,39.724409,106.2,63.5,39.9,22.6,35.1,30.6,19,0,16.295732782,16.346741461,16.083333333,15.980887199,15.878597085
17,28.4,50,196.75,68.25,105.6,38.897638,104.8,66,41.5,24.7,33.2,30.5,19.4,0,16.134476689,16.167285942,16.892857143,16.507717411,16.394285861
16.5,32.6,50,203,67,114.8,42.559055,102.5,61.3,41.1,24.7,34.1,31,18.3,0,16.215374462,16.19940704,16.083333333,16.397058413,16.301497758
17.5,34.5,45,262.75,68.75,128.3,49.685039,125.6,72.5,39.6,26.6,36.4,32.7,21.4,0,17.798470424,17.541056967,16.892857143,17.069778519,16.894557823
15,31.6,48,217,70,113.3,43.779528,114.1,67.7,40.9,25,36.7,29.8,18.4,0,15.959818612,15.732423692,16.083333333,15.603127281,15.970694187
17,32,41,212,71.5,106.6,41.062992,106,65,40.2,23,35.8,31.5,18.8,0,16.497277229,16.607446817,16.083333333,16.32912826,16.342514319
13,7.7,39,125.25,68,85.1,29.92126,88.2,50,34.7,21,26.1,23.1,16.1,0,13.682517171,13.668569046,14,13.726242649,13.870483193
14.5,13.9,43,164.25,73.25,96.6,32.086614,97.2,58.4,38.2,23.4,29.7,27.4,18.3,0,14.869662762,14.757968226,14.964285714,14.954550485,14.810366078
13.5,10.8,40,133.5,67.5,88.2,29.015748,88.5,53.3,34.5,22.5,27.9,26.2,17.3,1,14.278014063,14.204941044,14,14.195252765,14.269423539
14,5.6,39,148.5,71.25,89.8,31.299213,92.7,52.7,37.5,21.9,28.8,26.8,17.9,2,14.671076357,14.459500709,14.708333333,14.785137281,14.719685727
13.5,13.6,45,135.75,68.5,92.3,32.834646,90.4,52,35.8,20.6,28.8,25.5,16.3,0,14.118702589,14.005928994,14,13.993100815,14.073207552
14,4,47,127.5,66.75,83.4,27.716535,87.2,50.6,34.4,21.9,26.8,25.8,16.8,1,14.081841144,13.96476694,14,13.712044032,14.066911765
14,10.2,47,158.25,72.25,90.2,34.133858,98.3,52.6,37.2,22.4,26,25.8,17.3,0,14.42666918,14.179462831,14,14.10394388,14.339253362
14,6.6,40,139.25,69,89.2,30.669291,91,51.4,34.9,21,26.7,26.1,17.2,1,14.418358464,14.331702512,14,14.298913916,14.20092428
15,8,51,137.25,67.75,89.7,32.283465,89.1,49.3,33.7,21.4,29.6,26,16.9,1,14.362346575,14.195974047,14,14.336101583,14.342695604
14.5,6.3,49,152.75,73.5,93.3,31.338583,91.6,52.6,37.6,22.6,38.5,27.4,18.5,0,14.873738118,14.851210426,14.708333333,14.790671105,14.990196912
15.5,3.9,42,136.25,67.5,87.6,30.551181,88.6,51.9,34.9,22.5,27.7,27.5,18.5,0,14.758821416,14.787746868,14.708333333,14.875574135,14.832717189
16,22.6,54,198,72,107.6,39.370079,99.6,57.2,38,22,35.9,30.2,18.9,0,16.37592707,16.439583797,16.083333333,16.047966963,16.071057403
16,20.4,58,181.5,68,100,39.291339,102.5,62.1,39.6,22.5,33.1,28.3,18.5,1,15.636355722,15.658661337,15.47826087,15.667270771,15.553427017
16.5,28,62,201.25,69.5,111.5,41.023622,105.8,61.8,39.8,22.7,37.7,30.9,19.2,0,16.36262158,16.376711309,16.25,16.355281595,16.408248299
16.5,31.5,54,202.5,70.75,115.4,41.456693,97,59.1,38,22.5,31.6,28.8,18.2,1,16.378915354,16.410874548,16.083333333,16.25831749,15.858789425
15.5,24.6,61,179.75,65.75,104.8,38.700787,99.6,60.6,37.7,22.9,34.5,29.6,18.5,0,15.828590302,15.923198201,15.47826087,15.7304783,15.612228038
17,26.1,62,216,73.25,112.3,41.259843,103.1,61.6,40.9,23.1,36.2,31.8,20.2,1,17.0682115,17.165528244,16.25,16.643019644,16.502069161
14.5,29.8,56,178.75,68.5,102.9,37.283465,100.8,60.9,38,22.1,32.5,29.8,18.3,0,15.658459176,15.789624371,15.47826087,15.642224515,15.457153797
15.5,30.7,54,193.25,70.25,107.6,40.314961,99.4,61,39.4,23.6,32.7,29.9,19.1,0,16.175846523,16.266073159,16.083333333,15.891520629,15.847793514
15,25.8,61,178,67,105.3,39.251969,99.7,60.8,40.1,22.7,33.6,29,18.8,1,15.786518231,15.814549394,15.47826087,15.7304783,15.646518004
16.5,32.3,57,205.5,70,105.3,41.535433,108.3,65,41.2,24.7,35.3,31.1,18.4,1,15.935612127,16.153507198,16.083333333,16.236515025,16.155446575
16.5,30,55,183.5,67.5,103,39.488189,104.2,64.8,40.2,22.7,34.8,30.1,18.7,1,15.768759395,15.91776807,15.47826087,15.811829086,15.702895555
14.5,21.5,54,151.5,70.75,90,33.031496,93.9,55,36.1,21.7,29.6,27.4,17.4,2,14.650366287,14.787026903,14.708333333,14.616053807,14.652455982
15,13.8,55,154.75,71.5,95.4,34.094488,91.8,54.3,35.4,21.5,32.8,27.4,18.7,0,15.198177133,15.215439408,14.964285714,14.976203572,15.064702813
15.5,6.3,54,155.25,69.25,89.3,30.866142,96.1,56,37.4,22.4,32.6,28.1,18.1,0,14.895466586,15.096374454,14.708333333,15.061531059,15.128370098
15,12.9,55,156.75,71.5,94.4,33.307087,94.3,51.2,37.4,21.6,27.3,27.1,17.3,0,14.738499285,14.560256921,14.964285714,14.861944596,14.713553764
14.5,24.3,62,167.5,71.5,97.6,36.023622,98.5,56.6,38.6,22.4,31.5,27.3,18.6,0,15.186890798,15.248991952,14.964285714,15.181289797,14.883308612
15.5,8.8,55,146.75,68.75,88.5,32.598425,95.5,58.9,37.6,21.6,30.3,27.3,18.3,0,14.772830151,14.93828999,14.708333333,14.871435133,15.002753601
15,8.5,56,160.75,73.75,93.6,32.637795,96.3,52.9,37.5,23.1,29.7,27.3,18.2,0,14.772631891,14.802029451,14.964285714,15.028690252,14.943919083
13.5,13.5,55,125,64,87.7,29.92126,88.6,50.9,35.4,19.1,29.3,25.7,16.9,0,14.394735877,14.147731448,14,13.823773534,14.14339986
15,11.8,61,143,65.75,93.4,32.795276,93,55.5,35.2,20.9,29.4,27,16.8,0,14.544025279,14.736152899,14.964285714,14.917386982,14.991552303
14.5,18.5,61,148.25,67.5,91.6,32.204724,94.8,54.5,37,21.4,29.3,27,18.3,0,14.917711773,14.826469921,14.708333333,14.879087268,14.821184724
15.5,8.8,57,162.5,69.5,91.6,31.023622,94.3,56.7,39.7,24.2,30.2,29.2,18.1,0,15.055015179,15.281566707,14.708333333,15.0504954,15.028157513
15.5,22.2,69,177.75,68.5,102,37.401575,98.3,55,38.3,21.8,30.8,25.7,18.8,0,15.713102915,15.451299349,15.47826087,15.50500208,15.477279058
15.5,21.5,81,161.25,70.25,96.4,37.559055,99.3,53.5,37.5,21.5,31.4,26.8,18.3,0,14.996453788,15.551472424,14.964285714,15.288835649,15.271928456
15,18.8,66,171.25,69.25,102.7,38.818898,100.2,56.5,39.3,22.7,30.3,28.7,19,0,15.482273503,15.504396258,15.4,15.408164418,15.48493866
15.5,31.4,67,163.75,67.75,97.7,37.716535,97.1,54.8,38.2,23.7,29.4,27.2,19,0,15.262240477,15.178220295,14.964285714,15.315705873,15.322049466
15.5,26.8,64,150.25,67.25,97.1,35.03937,96.9,54.8,38,22,29.9,25.2,17.7,0,14.583360373,14.556332828,14.964285714,15.014438039,15.094186425
16,18.4,64,190.25,72.75,103.1,38.503937,99.6,58.9,39,23,34.3,29.6,19,0,15.978174737,16.111981229,16.083333333,15.891520629,15.855999296
15.5,27,70,170.75,70,101.8,37.362205,95,56,36.5,24.1,31.2,27.3,19.2,1,15.496737049,15.542478111,14.964285714,15.470888079,15.520986541
15.5,27,72,168,69.25,101.4,39.291339,96.2,56.3,36.6,22,29.7,26.3,18,2,15.237528377,15.302852151,14.964285714,15.335331562,15.286802868
15,26.6,67,167,67.5,98.9,35.314961,96.2,54.7,37.8,33.7,32.4,27.7,18.2,1,14.123941868,15.70326688,14.964285714,14.838456352,15.004773159
15.5,14.9,72,157.75,67.25,97.5,34.685039,96.9,57.2,37.7,21.8,32.6,28,18.8,2,15.289110679,15.546011006,14.964285714,15.092733808,15.154541248
15,23.1,64,160,65.75,104.3,35.787402,93.8,57.8,39.5,23.3,29.2,28.4,18.1,0,15.228200127,15.218038979,14.964285714,15.360964037,15.220844588
15.5,8.3,46,176.75,72.5,97.3,33.858268,99.3,61,38.4,23.8,30.2,29.3,18.8,0,15.404723826,15.439836378,15.4,15.194612453,15.231905551
15,14.1,48,176,73,96.7,34.055118,98.3,60.4,39.9,24.4,28.8,29.6,18.7,0,15.32215889,15.362474672,15.4,15.194612453,15.158889133
15,20.5,46,177,70,99.7,37.637795,102.2,58.3,38.2,22.5,29.1,27.7,17.7,0,15.160057186,15.0235772,14.964285714,15.091420226,15.200032198
16,18.2,44,179.75,69.5,101.9,36.692913,100.6,58.9,39.7,23.1,31.4,28.4,18.8,0,15.616746753,15.439016418,15.47826087,15.593537167,15.455666016
15.5,8.5,47,165.25,70.5,97.2,32.716535,95.4,56.9,38.3,22.1,30.1,28.2,18.4,1,15.31645728,15.138423261,14.964285714,15.081340959,14.99897152
15.5,24.9,46,192.5,71.75,106.6,38.385827,100.6,58.9,40.5,24.5,33.3,29.6,19.1,0,15.916536361,15.822268874,16.083333333,15.853062881,15.833210181
15,9,47,184.25,74.5,99.6,34.96063,101.4,57.4,39.6,24.6,30.3,27.9,17.8,0,15.032530026,15.057320222,15.47826087,15.204456329,15.099671118
16.5,17.4,53,224.5,77.75,113.2,39.055118,107.5,61.7,42.3,23.2,32.9,30.8,20.4,0,16.94178572,16.907578287,16.25,16.480864616,16.406831066
15.5,9.6,38,188.75,73.25,99.1,36.062992,102.4,60.6,39.4,22.9,31.6,30.1,18.5,0,15.678318466,15.631943325,15.47826087,15.622499668,15.555970177
15.5,11.3,50,162.5,66.5,99.4,34.133858,96.2,62.1,39.3,23.3,30.6,27.8,18.2,1,15.168575013,15.124622524,14.964285714,15.055560476,15.087279344
14.5,17.8,46,156.5,68.25,95.1,34.724409,92.8,54.7,37.3,21.9,31.6,27.5,18.2,0,15.182046265,15.034151354,14.964285714,14.916496994,14.740255534
16,22.2,47,197,72,107.5,37.007874,103.7,62.7,39,22.3,35.3,30.9,18.3,0,15.99571468,16.129670794,16.083333333,16.021055454,16.12616653
16.5,21.2,49,198.5,73.5,106.5,37.401575,101.7,59,39.4,22.3,32.2,31,18.6,1,16.152398015,16.149582206,16.083333333,16.166051915,16.049565056
15,20.4,48,173.75,72,99.1,36.220472,98.3,59.3,38.4,22.4,27.9,26.2,17,2,14.879568707,14.794290377,14.964285714,14.948034614,15.015011582
15,20.1,41,172.75,71.25,96.7,35.11811,98.3,60,38.4,23.2,31,29.2,18.4,1,15.325572956,15.301297448,15.4,15.294590657,15.113191527
16.5,22.3,49,196.75,73.75,103.5,37.598425,101.6,59.1,39.8,25.4,31,30.3,19.7,0,16.020689938,15.96090057,16.25,16.189591811,16.162830362
16,25.4,43,177,69.25,104,38.818898,99.5,59.5,36.1,22,30.1,27.2,17.7,1,15.344822765,15.556065775,14.964285714,15.194010992,15.37185814
12.5,18,43,165.5,68.5,93.1,34.370079,96.6,54.7,39,24.8,31,29.4,18.8,0,15.235462462,15.001622724,14.708333333,14.334660169,14.429231885
15.5,19.3,43,200.25,73.5,105.2,40.472441,103.6,61.2,39.3,23.5,30.5,28.5,18.1,0,15.735930155,15.720097361,16.083333333,15.873009199,15.69130967
17,18.3,52,203.25,74.25,110,40,100.7,55.8,38.7,23.4,35.1,29.6,19.1,0,16.268905607,16.242981658,16.083333333,16.229105205,16.36146542
15.5,17.3,43,194,75.5,110.1,34.92126,102.1,57.5,40,24.8,35.1,30.7,19.2,0,15.774427402,15.715765361,16.25,15.903485961,15.905304622
14,21.4,40,168.5,69.25,97.8,36.338583,100.6,57.5,36.8,22.8,32.1,26,17.3,1,14.762769241,14.78457259,14.964285714,14.921555575,15.090749088
15,19.7,43,170.75,68.5,96.3,35.669291,99.3,61.9,38,22.3,33.3,28.2,18.1,1,15.309997787,15.340835721,14.964285714,15.194128038,15.241982081
15,28,43,183.25,70,108,41.338583,103,63.7,40,23.6,33.5,27.8,17.4,0,15.129345576,15.31340709,15.47826087,15.349649773,15.494243344
16.5,22.1,47,178.25,70,99.7,37.401575,98.6,62.3,38.1,23.9,35.3,31.1,19.8,0,15.951988972,16.203670108,16.25,16.429751677,16.231190623
14.5,21.3,42,163,70.25,93.5,35.275591,99.8,61.5,37.8,21.9,30.7,27.6,17.4,0,14.775441748,14.875861983,14.964285714,14.92227597,14.874422557
15.5,26.7,48,175.25,71.75,100.7,36.377953,97.5,59.3,38.1,21.8,31.8,27.3,17.5,2,15.232510326,15.221772353,14.964285714,15.079211352,15.030666016
15,16.7,40,158,69.25,97,34.094488,92.6,55.9,36.3,22.1,29.8,26.3,17.3,0,14.864699604,14.830750904,14.964285714,14.719992171,14.897972371
15,20.1,48,177.25,72.75,96,35.433071,99.7,58.8,38.4,22.8,29.9,28,18.1,0,15.245116172,15.204970064,14.964285714,15.190771475,15.067449768
16.5,13.9,51,179,72,99.2,35.433071,96.4,56.8,38.8,23.3,33.4,29.8,19.5,0,15.902483607,15.850025458,16.25,16.053099087,15.71272384
15.5,25.8,40,191,74,95.4,36.377953,104.3,64.6,41.1,24.8,33.6,29.5,18.5,2,15.396403144,15.652151346,16.083333333,15.594487885,15.660690109
15.5,18.1,44,187.5,72.25,101.8,34.448819,101,58.5,39.2,24.5,32.1,28.6,18,0,15.359355042,15.240650253,15.47826087,15.399195455,15.349720177
16.5,27.9,52,206.5,74.5,104.3,39.055118,104.1,58.5,39.3,24.6,33.9,31.2,19.5,0,16.26896564,16.283122206,16.25,16.582036958,16.441295498
16,25.3,44,185.25,71.5,99.2,38.622047,101.4,57.1,40.5,23.2,33,29.6,18.4,0,15.604061937,15.470363916,15.47826087,15.713060348,15.701492494
15,14.7,40,160.25,68.75,99.3,32.795276,97.5,60.5,38.7,22.6,34.4,28,17.6,0,14.853992879,14.847624048,14.964285714,14.864215884,15.141403493
15,16,47,151.5,66.75,94,33.897638,95.2,58.1,36.5,22.1,30.6,27.5,17.6,2,14.792888203,14.748880155,14.964285714,14.794552135,14.81432016
15.5,13.8,50,161,66.5,98.9,33.110236,94,58.5,36.6,23.5,34.4,29.2,18,0,15.205921356,15.278306091,15.4,15.290791547,15.369889888
15,17.5,46,167,67,101,35.393701,100,60.7,36,21.9,35.6,30.2,17.6,1,15.225547258,15.450229823,15.4,15.301506096,15.418172557
16,27.2,42,177.5,68.75,98.7,36.259843,98.5,60.7,36.8,22.2,33.8,30.3,17.2,0,15.41483826,15.566775023,15.47826087,15.622121489,15.589749938
15.5,17.4,43,152.25,67.75,95.9,30.708661,93.2,53.5,35.8,20.8,33.9,28.2,17.4,0,14.980182667,14.806545883,14.964285714,15.111022567,15.013087167
16,20.8,40,192.25,73.25,103.9,36.811024,99.5,61.7,39,21.8,33.3,29.6,18.1,0,15.906342861,15.965061531,16.083333333,15.824440865,15.737617547
15.5,14.9,42,165.25,69.75,96.2,34.251969,97.8,57.4,36.9,22.2,31.6,27.8,17.7,1,15.020190566,14.912940943,14.964285714,14.81977715,14.81304465
14.5,18.1,49,171.75,71.5,97.8,35.472441,95.8,57,38.7,23.2,27.5,26.5,17.6,0,15.041039854,14.808383398,14.964285714,14.887386265,14.88818335
15,22.7,40,171.25,70.5,94.6,35.551181,99.1,60.3,38.5,23,31.2,28.4,17.1,0,14.898121528,14.981664866,14.964285714,15.068489815,14.845766095
15.5,23.6,47,197,73.25,103.6,39.291339,103.2,61.2,38.1,22.6,33.5,28.6,17.9,0,15.706900393,15.7553633,16.083333333,15.910182531,15.770688922
15.5,26.1,50,157,66.75,100.4,35.19685,92.3,56.1,35.6,20.5,33.6,29.3,17.3,0,15.278281252,15.341821522,15.4,15.42142568,15.294441527
15,24.4,41,168.25,69.5,98.4,34.330709,98.4,56,36.9,23,34,29.8,18.1,0,15.221669156,15.156195462,15.4,15.182502167,15.174318198
15.5,27.1,44,186,69.75,104.6,39.80315,102.1,58.9,37.9,22.7,30.9,28.8,17.6,0,15.472241245,15.447895843,15.47826087,15.429305168,15.462802017
15,21.8,39,166.75,70.75,92.9,33.897638,95.6,58.8,36.1,22.4,32.7,28.3,17.1,1,14.955526336,14.99922852,14.708333333,14.735968048,14.912586477
15.5,29.4,43,187.75,74,97.8,38.818898,100.6,63.6,39.2,23.8,34.3,28.4,17.7,0,15.288779373,15.498002519,15.47826087,15.52392532,15.516613831
14,22.4,40,168.25,71.25,98.3,34.84252,98.3,58.1,38.4,22.5,31.7,27.4,17.6,0,14.947441157,14.830734422,14.964285714,14.705212499,14.580093969
16.5,20.4,49,212.75,75,104.7,41.968504,107.7,66.5,42.5,24.5,35.5,29.8,18.7,0,16.012836115,16.047117474,16.083333333,16.157701618,16.123062788
15,24.9,40,176.75,71,98.6,36.653543,101.6,59.1,39.6,21.6,30.8,27.9,16.6,1,14.934966101,14.864353342,14.964285714,15.086271355,15.012808874
15,18.3,40,173.25,69.5,99.5,36.614173,99.3,60.4,38.2,22,32,28.5,17.8,0,15.309488159,15.302366074,14.964285714,15.196246609,15.084031401
15.5,23.3,52,167,67.75,102.7,35.826772,98.9,57.1,36.7,22.3,31.6,27.5,17.9,0,15.150789064,15.079121104,14.964285714,15.235437845,15.114686163
14.5,9.4,23,159.75,72.25,92.1,30.354331,93.9,56.1,36.1,22.7,30.5,27.2,18.2,0,14.953977349,15.026474042,14.708333333,14.808683105,14.750086477
15.5,10.3,23,188.15,77.5,96.6,33.582677,102.5,59.1,37.6,23.2,31.8,29.7,18.3,2,15.351821419,15.296399428,15.47826087,15.482949412,15.324762694
14.5,14.2,24,156,70.75,92.7,32.244094,95.3,56.4,36.5,22,33.5,28.3,17.3,0,14.717467167,14.708404183,14.708333333,14.816993175,14.838947021
16,19.2,24,208.5,72.75,102,39.015748,110.1,71.2,43.5,25.2,36.1,30.3,18.7,0,15.81831215,15.83329915,16.083333333,16.095495638,16.081155192
16.5,29.6,25,206.5,69.75,110.9,39.566929,106.2,68.4,40.8,24.6,33.3,29.7,18.4,0,16.016853325,16.196631221,16.083333333,16.284181332,16.129771568
14.5,5.3,25,143.75,72.5,92.3,30.11811,92.1,51.9,35.7,22,25.8,25.2,16.9,0,14.120117372,14.410495641,14,14.237815,14.255239756
16.5,25.2,26,223,70.25,114.1,42.047244,113.9,67.6,42.7,24.7,36,30.4,18.4,0,16.214445096,16.206536052,16.083333333,16.192619633,16.154608586
14.5,9.4,26,152.25,69,92.9,30.551181,93.5,56.9,35.9,20.4,31.6,29,17.8,0,15.102744752,15.182948463,14.708333333,14.811980637,14.613925763
17,19.6,26,241.75,74.5,108.3,40.511811,114.4,72.9,43.5,25.1,38.5,33.8,19.6,0,17.060801718,17.064949854,16.892857143,16.939534632,16.85922619
14,10.1,27,146,72.25,88.5,28.661417,91.1,53.6,36.8,23.8,27.8,26.3,17.4,0,14.243098013,14.162501693,14,14.229004825,14.274164185
15.5,16.5,27,156.75,67.25,94,34.724409,95.2,56.8,37.4,22.8,30.6,28.3,17.9,0,14.985961237,14.978292796,14.964285714,15.154771153,15.124056554
15.5,21,27,200.25,73.5,101.1,39.409449,105,62.1,40,24.9,33.7,29.2,19.4,0,15.915226616,15.922421325,16.25,15.898033226,16.039396405
14.5,17.3,28,171.5,75.25,92.1,32.874016,98.3,57.3,37.8,21.7,32.2,27.7,17.7,1,14.999849515,14.867305603,14.708333333,14.627633664,14.901329282
15.5,31.2,28,205.75,69,105.6,41.338583,106.4,68.6,40,25.2,35.2,30.7,19.1,0,16.194327575,16.418896575,16.083333333,15.855885341,15.884315623
15,10,28,182.5,72.25,98.5,35.748031,102.5,60.8,38.5,25,31.6,28,18.6,0,15.213320181,15.151724936,15.47826087,15.152490346,15.069405551
14.5,12.5,30,136.5,68.75,88.7,30.15748,89.8,50.1,34.8,21.8,27,34.9,16.9,0,14.640728499,14.890855145,14.708333333,14.634428134,14.477114756
15,22.5,31,177.25,71.5,101.1,36.377953,99.3,59.4,39,24.6,30.1,28.2,18.2,1,15.159994732,15.06991716,14.964285714,15.393501639,15.237475279
14.5,9.4,31,151.25,72.25,94,31.968504,91.5,52.5,36.6,21,27,26.3,16.5,2,14.45367791,14.451045332,14.964285714,14.638801939,14.561449172
15.5,14.6,33,196,73,103.8,37.637795,105.1,61.4,40.6,25,31.3,29.2,19.1,2,15.700680294,15.558503181,16.083333333,15.753525162,15.901024806
16.5,13,33,184.25,68.75,98.9,36.259843,103.5,64,37.3,23.5,33.5,30.6,19.7,0,15.98088205,16.090995655,16.892857143,16.253771676,16.124713635
14.5,15.1,34,140,70.5,89.2,32.834646,89.6,52.4,35.6,20.4,28.3,26.2,16.5,0,14.311854391,14.348257503,14,14.413632371,14.235905965
16,27.3,34,218.75,72,111.4,41.732283,108.8,63.8,42,23.4,34,31.2,18.5,0,16.429322503,16.387210662,16.083333333,16.217284151,16.327227633
16.5,19.2,35,217,73.75,107.5,37.440945,104.5,64.8,41.3,25.6,36.4,33.7,19.4,0,16.609805763,16.689369981,16.892857143,16.657175131,16.550174466
15.5,21.8,35,166.25,68,99.1,35.590551,95.6,55.5,34.2,21.9,30.2,28.7,17.7,0,15.306049611,15.360917325,15.4,15.296075861,15.250734044
18,20.3,35,224.75,72.25,108.2,39.527559,106.8,63.3,41.7,24.6,37.2,33.1,19.8,1,17.022231207,17.028972919,16.892857143,16.758226264,16.685442323
