"Name","1 Month(%)","YTD(%)","3 Month(%)","1 Year(%)","3 Year(%)","5 Year(%)"
"Muni Single State Long",0.56,3.43,0.73,-0.23,2.67,2.23
"Muni Single State Short",0.42,2.61,0.56,0.34,1.24,1.16
"Muni National Short",0.34,2.16,0.51,0.68,0.93,0.95
"Long-Short Equity",0.02,6.04,1.72,7.87,2.6,5.67
"Option Writing",0.29,5.49,1.68,7.07,2.92,5.18
"Multialternative",0.33,3.17,1.06,3.54,0.81,2.7
"Long-Short Credit",-0.01,2.2,0.59,3.13,0.86,1.97
"Multicurrency",-0.37,1.88,0.12,1.89,0.05,-0.53
"Market Neutral",0.19,0.85,0.68,2.64,-0.1,0.55
"Managed Futures",0.91,-1.14,-0.68,-4.92,1.35,0.91
"Bear Market",-0.62,-17.83,-6.09,-24.38,-17.17,-22.3
"Commodities Precious Metals",4.02,12.15,2.91,0.05,-1.56,-6.45
"Commodities Broad Basket",0.64,-2.4,2.46,2.75,-12.46,-10.04
"Technology",1.98,25.2,4.48,28.34,14.44,17.62
"Health",2.37,22.01,9.29,16.61,8.49,17.47
"Infrastructure",1.41,16.78,3.54,13.53,3.75,10.04
"Equity Precious Metals",6.05,15.19,9.42,-3.06,-1.85,-9.68
"Utilities",2.41,13.61,3.22,15.3,8.83,11.61
"Global Real Estate",0.34,10.26,3.42,3.25,3.64,7.21
"Industrials",0.75,9.62,2.84,19.41,8.96,16.01
"Consumer Cyclical",-1.96,7.88,-0.96,10.21,6.33,12.58
"Communications",0.03,7.54,1.76,10.49,6.81,10.14
"Consumer Defensive",-0.97,7.13,-1.1,4.42,8.35,12.02
"Financial",-2.22,4.92,4.42,21.6,8.97,14.61
"Real Estate",-0.13,4.38,3,0.35,6.81,8.51
"Natural Resources",-0.35,4.05,4.28,11.74,-4.7,1.27
"Energy Limited Partnership",-4.09,-6.85,-2.38,-0.5,-12.17,-0.45
"Equity Energy",-6.22,-20.1,-5.76,-9.79,-19.39,-6.29
