"gpa","class","sex","workstudy","tvhours","relatn","varsity","smokepermth","fin.aid","drink.mth"
3.5,"Junior","M","N",1,"N","N",0,"N",0
3.5,"Junior","F","N",0,"Y","N",0,"N",2
2.3,"Sophomore","F","N",2,"Y","Y",0,"N",4
3.8,"Junior","F","N",3,"N","N",0,"N",8
3.94,"Sophomore","M","N",2,"N","Y",0.5,"N",4
3.7,"Junior","M","N",0,"N","N",0,"N",0
3.9,"Junior","M","Y",4,"N","N",0,"N",8
3,"Senior","M","Y",7,"N","N",0,"Y",12
3.5,"Junior","M","N",1,"N","N",0,"N",4
3.8,"Junior","F","N",1,"N","Y",0,"N",8
3.23,"Firstyear","M","N",7,"N","N",0,"N",12
3.25,"Firstyear","M","N",1,"N","Y",0,"Y",8
3.67,"Firstyear","F","N",0,"N","N",0,"N",0
3.5,"Firstyear","F","N",0,"N","N",0,"N",0
3.08,"Firstyear","F","Y",0,"N","Y",0,"Y",0
3.5,"Firstyear","F","Y",0,"Y","N",0,"Y",0
2.42,"Firstyear","F","Y",0,"N","Y",0,"Y",8
3.17,"Firstyear","M","N",1,"N","N",0,"N",12
3.32,"Junior","M","Y",0,"N","N",0,"N",8
3.3,"Senior","F","N",2,"N","Y",0,"N",16
2.42,"Firstyear","M","Y",7,"N","N",0,"Y",0
3.2,"Firstyear","F","N",2,"N","N",0,"N",0
3.4,"Firstyear","M","N",6,"N","N",0,"N",4
2.43,"Firstyear","M","N",10,"Y","Y",0,"N",12
3.2,"Firstyear","M","Y",8,"N","N",0,"N",0
3.1,"Firstyear","F","N",0,"N","N",0,"N",4
3.25,"Firstyear","M","N",0,"N","N",2,"N",8
2.33,"Firstyear","M","Y",20,"N","Y",20,"Y",8
3.83,"Firstyear","F","N",2,"N","N",0,"N",0
3,"Firstyear","F","N",1,"N","N",0,"N",4
3.17,"Firstyear","F","Y",0,"Y","Y",0,"N",4
3.3,"Firstyear","M","Y",10,"N","N",0,"N",0
3.7,"Firstyear","M","Y",0,"N","N",0,"N",4
3.75,"Firstyear","F","Y",1,"N","Y",0,"N",8
3.25,"Firstyear","F","N",0.5,"Y","N",1,"N",12
2.83,"Firstyear","F","Y",3,"N","N",0,"Y",12
3.1,"Firstyear","F","N",0,"N","Y",0,"N",8
2.33,"Firstyear","M","N",2,"N","Y",0,"N",12
3,"Firstyear","M","N",10,"N","Y",0,"Y",8
3.1,"Firstyear","F","Y",10,"Y","Y",0,"Y",0
3.5,"Firstyear","F","Y",5,"N","N",0,"Y",0
2.83,"Firstyear","F","Y",0,"N","Y",0,"Y",8
3.6,"Firstyear","M","N",0,"Y","N",0,"N",8
2.83,"Firstyear","F","N",3,"N","N",0,"N",4
3.67,"Firstyear","F","Y",0,"N","N",0,"N",4
3.5,"Firstyear","F","N",0,"N","Y",0,"N",4
3,"Junior","M","N",6,"Y","Y",0,"N",6
2.11,"Firstyear","F","Y",0,"N","N",0,"Y",8
3.7,"Junior","F","N",4,"N","N",0,"N",4
3.6,"Firstyear","F","N",1,"N","N",0,"N",0
3.5,"Firstyear","F","N",4,"N","N",0,"N",4
3.25,"Firstyear","M","Y",1,"Y","N",0,"N",0
3.33,"Firstyear","M","Y",6,"N","N",0,"Y",1
2.42,"Firstyear","M","N",7,"N","N",0,"Y",8
3.8,"Sophomore","M","Y",0,"N","N",0,"Y",6
2.7,"Junior","M","N",4,"N","Y",20,"N",4
3.1,"Junior","M","N",5,"N","Y",0,"N",8
3,"Senior","M","N",6,"Y","Y",4,"N",28
3.58,"Senior","F","N",6,"N","N",0,"N",12
3.3,"Junior","M","N",1,"N","N",0,"N",4
3.39,"Sophomore","M","N",3,"N","N",0,"N",2
2.75,"Sophomore","M","Y",12,"N","Y",0,"Y",8
3.8,"Senior","F","N",2,"N","N",1,"N",4
3.3,"Junior","M","N",6,"Y","N",0,"N",4
3.72,"Junior","M","Y",12,"N","N",0,"Y",8
3.67,"Sophomore","M","N",1,"N","N",0,"N",8
2.43,"Sophomore","M","N",15,"N","N",0,"N",0
3.08,"Firstyear","M","Y",3,"N","Y",4,"N",8
2.5,"Junior","F","N",15,"Y","Y",0,"N",4
2.92,"Junior","F","Y",1,"N","N",0,"Y",0
3.56,"Senior","F","N",2,"N","N",0,"N",0
3.3,"Firstyear","M","N",1,"Y","N",0,"N",4
2.5,"Firstyear","M","N",10,"Y","Y",0,"Y",4
3.3,"Firstyear","M","N",20,"Y","Y",0,"N",0
3.5,"Junior","F","N",6,"N","N",0,"N",4
3.25,"Junior","M","N",2,"N","N",8,"N",12
3.3,"Senior","M","N",1,"N","N",0,"Y",16
3.1,"Junior","F","N",10,"Y","N",0,"N",2
3.6,"Senior","F","N",1,"Y","N",0,"N",4
3.71,"Senior","F","N",2,"N","N",0,"N",2
3.92,"Firstyear","M","Y",0,"Y","N",0,"Y",4
3.58,"Senior","F","N",5,"Y","Y",0,"N",0
3.45,"Sophomore","M","N",4,"Y","N",0,"N",0
3.21,"Junior","M","Y",3,"Y","N",0,"Y",8
2.92,"Junior","M","N",0,"Y","N",0,"N",1
2.67,"Firstyear","M","N",0,"Y","Y",0,"N",4
3.5,"Firstyear","F","N",1,"N","N",1,"N",4
3.75,"Firstyear","M","N",1,"N","N",0,"N",4
3.2,"Senior","M","N",25,"N","Y",0,"N",16
4.05,"Sophomore","M","N",2,"Y","N",0,"N",4
3.3,"Junior","F","N",0,"Y","N",4,"N",8
3.3,"Sophomore","F","Y",6,"N","N",0,"Y",12
3.86,"Sophomore","F","Y",1,"Y","N",0,"N",1
3.4,"Firstyear","F","N",1,"Y","Y",0,"N",8
3.49,"Junior","M","Y",8,"Y","Y",0,"N",8
3.37,"Junior","M","Y",2,"Y","N",0,"N",8
3.77,"Junior","F","N",0.5,"N","Y",0,"N",8
3.5,"Firstyear","F","Y",0,"Y","N",0,"Y",0
3,"Sophomore","M","Y",0,"Y","N",0,"Y",4
3.24,"Senior","M","Y",15,"Y","Y",0,"N",16
1.85,"Firstyear","M","Y",3,"Y","N",0,"N",0
3.2,"Junior","F","N",,"Y","N",0,"Y",4
3.4,"Junior","M","Y",2,"Y","N",2,"N",12
3.5,"Firstyear","F","N",2,"Y","Y",,"N",12
3,"Sophomore","M","N",24,"N","Y",2,"N",8
3.2,"Sophomore","F","N",2,"Y","N",0,"N",12
3.35,"Senior","F","Y",15,"Y","N",0,"Y",16
3.62,"Junior","M","N",2,"Y","N",0,"N",4
2.8,"Junior","M","Y",25,"Y","Y",0,"Y",12
3.4,"Senior","M","Y",,"Y","Y",8,"N",20
4,"Junior","F","Y",5,"Y","N",12,"N",4
3.54,"Junior","M","N",1.5,"Y","N",0,"Y",4
3.43,"Junior","M","N",2,"Y","N",0,"N",4
2.96,"Senior","M","N",20,"Y","Y",0,"N",20
3.05,"Junior","M","Y",1,"Y","N",0,"Y",0
3.5,"Firstyear","M","Y",4,"Y","N",40,"N",8
2.97,"Firstyear","M","Y",4,"Y","N",0,"Y",4
3.3,"Senior","F","Y",5,"N","N",0,"Y",16
3.9,"Firstyear","M","N",0,"Y","N",0,"N",0
3.75,"Firstyear","F","N",1,"Y","N",0,"N",4
2.9,"Senior","F","N",3,"Y","N",0,"N",8
2.5,"Firstyear","F","Y",1,"Y","N",1,"Y",2
2.12,"Firstyear","F","Y",15,"Y","N",0,"N",8
3.42,"Senior","F","N",10,"Y","Y",0,"N",4
3.8,"Junior","F","N",2.5,"Y","Y",0,"N",0
2.78,"Sophomore","F","N",3,"Y","Y",1,"N",12
